Poste,Catégorie,Type,Montant prévu,Montant réel,Payeur/Bénéficiaire,Statut paiement,Date prévue,Date effective,Notes
Subvention Rectorat Grand Est,Revenus,Subvention,6000€,,Rectorat Grand Est,Prévu,2026-12-01,,Dossier déposé - réponse attendue
Subvention Région Grand Est,Revenus,Subvention,4000€,,Région Grand Est,Prévu,2026-12-15,,Appel à projets jeunesse Vosges
Sponsor Crédit Mutuel,Revenus,Sponsor,1500€,1500€,Crédit Mutuel Saint-Dié,Encaissé,2026-11-01,2026-11-05,Logo sur maillots + banderole
Sponsor Décathlon,Revenus,Sponsor,1500€,1500€,Décathlon Épinal,Encaissé,2026-11-10,2026-11-12,Matériel sport offert + logo
Sponsors locaux divers,Revenus,Sponsor,2000€,800€,Entreprises locales,Encaissé,2026-11-15,2026-11-20,"Super U, Boulangerie Vosges"
Inscriptions équipes,Revenus,Inscription,800€,,16 équipes x 50€,Prévu,2027-01-15,,8 équipes payées sur 16
Inscriptions spectateurs,Revenus,Inscription,560€,,140 spectateurs x 4€,Prévu,2027-01-20,,Billetterie en ligne ouverte
Tombola goodies,Revenus,Tombola,200€,,Vente T-shirts édition 1,Prévu,2027-02-05,,T-shirts collector déjà imprimés
Location POJC 2 jours,Dépenses,Location,2500€,,Ville Saint-Dié,Facturé,2026-12-20,,Convention signée - facturation après événement
Goodies et maillots,Dépenses,Goodies,1800€,1750€,Imprimerie Sport Design,Payé,2026-12-01,2026-12-05,180 maillots + 50 T-shirts tombola
Restauration totale,Dépenses,Repas,9000€,,Lycée Baumont + BBQ King + La Mama,Facturé,2027-01-20,,"1180 repas, facturation après"
Hébergement total,Dépenses,Hébergement,2400€,,Gymnases + UCPA + Camping,Facturé,2027-01-25,,240 nuitées x 10€ moyen
Arbitres officiels,Dépenses,Arbitres,600€,,Ligues Lorraine (4 arbitres x 150€),Prévu,2027-02-01,,Contrats envoyés
Matériel sport,Dépenses,Matériel,400€,350€,Décathlon sponsor,Payé,2026-11-15,2026-11-18,Ballons + dossards - reste offert par Décathlon
Navettes transport,Dépenses,Transport,1500€,,Jean-Pierre Transport + Cars Vosges,Réservé,2027-01-10,,4 trajets réservés
Communication & affiches,Dépenses,Communication,800€,650€,Imprimerie + Agence Social,Payé,2026-11-20,2026-11-25,Affiches 7 IUT + gestion Instagram
Assurance événement,Dépenses,Assurance,300€,300€,Assurance MMA,Payé,2026-10-15,2026-10-20,RC + annulation couverte
Sécurité et matériel médical,Dépenses,Sécurité,260€,,Pharmacie + Secourisme,Prévu,2027-01-25,,Trousses secours + défibrillateur POJC
