Équipe,IUT,Sport,Matchs joués,Victoires,Défaites,Points marqués,Points encaissés,Points classement,Rang poule,Classement final,Points Challenge Global IUT
Nancy-Charlemagne Alpha,IUT Nancy-Charlemagne,Basket,0,0,0,0,0,0,,,0
Nancy-Charlemagne Alpha,IUT Nancy-Charlemagne,Volley,0,0,0,0,0,0,,,0
Metz Warriors,IUT Metz,Basket,0,0,0,0,0,0,,,0
Metz Warriors,IUT Metz,Volley,0,0,0,0,0,0,,,0
Brabois Panthers,IUT Nancy-Brabois,Basket,0,0,0,0,0,0,,,0
Brabois Panthers,IUT Nancy-Brabois,Volley,0,0,0,0,0,0,,,0
Saint-Dié Locals,IUT Saint-Dié-des-Vosges,Basket,0,0,0,0,0,0,,,0
Saint-Dié Locals,IUT Saint-Dié-des-Vosges,Volley,0,0,0,0,0,0,,,0
Thionville Rockets,IUT Thionville-Yutz,Basket,0,0,0,0,0,0,,,0
Thionville Rockets,IUT Thionville-Yutz,Volley,0,0,0,0,0,0,,,0
Longwy United,IUT Longwy,Basket,0,0,0,0,0,0,,,0
Longwy United,IUT Longwy,Volley,0,0,0,0,0,0,,,0
Moselle-Est Flames,IUT Moselle-Est,Basket,0,0,0,0,0,0,,,0
Moselle-Est Flames,IUT Moselle-Est,Volley,0,0,0,0,0,0,,,0
Vosges Mixte,IUT Mixte,Basket,0,0,0,0,0,0,,,0
Vosges Mixte,IUT Mixte,Volley,0,0,0,0,0,0,,,0
